NAME,ID,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Baringo,BA,32591,226,4460,119,392,2594,2833,15686,262,2713,1584,3700,1812,1400,12156,6558,2962,1718,-431
Bomet,BO,103861,1116,15088,380,596,15513,1551,17994,1181,1258,1246,4232,2171,1284,12041,9709,3317,2725,-466
Bungoma,BU,107476,546,8342,617,834,7993,12505,38652,2546,4690,3498,11496,3785,2308,19915,22167,4390,5226,-1286
Busia,BS,39408,530,5746,211,601,11332,3196,15451,202,1288,1618,4998,1822,1077,11808,10185,3123,3450,-498
Elgeyo-Marakwet,EA,73655,873,2698,136,280,1524,2471,15031,259,1621,431,3593,794,636,8198,5278,2465,911,-111
Embu,EM,50858,409,4266,19161,1295,17190,11619,39527,1890,2674,3569,8281,2308,1508,10561,6993,3763,2956,-892
Garissa,GA,19982,1005,1418,456,1018,3049,6473,3394,664,966,1265,4508,284,536,14749,3777,4166,1280,-509
HomaBay,HB,69488,767,9323,186,628,3512,5955,21699,1492,2138,1408,6188,2942,1560,12508,13792,4588,4531,-510
Isiolo,IS,4070,72,579,247,271,3862,3312,2320,600,745,626,1929,482,674,7676,1264,2050,962,-255
Kajiado,KA,16966,5036,10751,5857,818,19038,10370,24045,4942,7010,6142,32857,5656,3928,14881,6991,5544,8811,-2230
Kakamega,KK,104332,2595,20384,618,1655,4952,16990,28878,2741,7224,4025,17228,4507,2977,22576,26731,3251,6216,-1397
Kericho,KC,88957,263,17518,1457,762,6820,13608,20723,2396,3177,4591,8898,2718,1713,12419,12249,4185,3434,-1447
Kiambu,KM,129360,7399,89309,11157,5826,120971,38219,87929,6573,15801,23340,64674,20467,13244,22113,34996,13160,23899,-7231
Kilifi,KL,50640,5999,48324,1506,2413,3131,13141,41297,4774,7219,4455,22410,4331,2663,16442,15057,5253,7329,-1586
Kirinyaga,KR,68366,2563,8115,584,603,981,9050,22024,5853,3265,2732,9346,3208,1583,9898,6169,3890,3669,-990
